L. Tom Perry,L. ,Tom ,Perry
Leonard J. Arrington,Leonard ,J. ,Arrington
Levi Stewart,Levi , ,Stewart
Lilburn Boggs,Lilburn , ,Boggs
Linda King Newell,Linda ,King ,Newell
Linda Sillitoe,Linda , ,Sillitoe
Lorenzo Snow,Lorenzo , ,Snow
Lot Smith,Lot , ,Smith
Luke S. Johnson,Luke ,S. ,Johnson
M. Russell Ballard,M. ,Russell ,Ballard
Marie Osmond,Marie , ,Osmond
Mark E. Petersen,Mark ,E. ,Petersen
Mark Hofmann,Mark , ,Hofmann
Mark Madsen,Mark , ,Madsen
Martha Hughes Cannon,Martha ,Hughes ,Cannon
Martin Harris,Martin , ,Harris
Marvin Goldstein,Marvin , ,Goldstein
Marvin J. Ashton,Marvin ,J. ,Ashton
Mary Fielding Smith,Mary ,Fielding ,Smith
Michael O. Leavitt,Michael ,O. ,Leavitt
Milo Andrus,Milo , ,Andrus
Milton R. Hunter,Milton ,R. ,Hunter
Mitch Davis,Mitch , ,Davis
Mitt Romney,Mitt , ,Romney
Moses Thatcher,Moses , ,Thatcher
Natacha Rambova,Natacha , ,Rambova
Nephi Anderson,Nephi , ,Anderson
O. Raymond Knight,O. ,Raymond ,Knight
Olene S. Walker,Olene ,S. ,Walker
Olive Osmond,Olive , ,Osmond
Oliver Cowdery,Oliver , ,Cowdery
Orrin Hatch,Orrin , ,Hatch
Orson Hyde,Orson , ,Hyde
Orson Pratt,Orson , ,Pratt
Orson Scott Card,Orson ,Scott ,Card
Orson Spencer,Orson , ,Spencer
Otto Fetting,Otto , ,Fetting
Parley P. Pratt,Parley ,P. ,Pratt
Philip Barlow,Philip , ,Barlow
Philo Farnsworth,Philo , ,Farnsworth
Porter Rockwell,Porter , ,Rockwell
Quentin L. Cook,Quentin ,L. ,Cook
Reed Smoot,Reed , ,Smoot
Rex E. Lee,Rex ,E. ,Lee
Richard Bushman,Richard , ,Bushman
Richard Dutcher,Richard , ,Dutcher
Richard G. Scott,Richard ,G. ,Scott
Richard L. Evans,Richard ,L. ,Evans
Robert D. Hales,Robert ,D. ,Hales
Robert L. Millet,Robert ,L. ,Millet
Ron Esplin,Ron , ,Esplin
Rulon Gardner,Rulon , ,Gardner
Russell M. Nelson,Russell ,M. ,Nelson
Samuel Brannan,Samuel , ,Brannan
Sandy Petersen,Sandy , ,Petersen
Shawn Bradley,Shawn , ,Bradley
Sidney Rigdon,Sidney , ,Rigdon
Sonia Johnson,Sonia , ,Johnson
Spencer W. Kimball,Spencer ,W. ,Kimball
Stephen Covey,Stephen , ,Covey
Stephen E. Robinson,Stephen ,E. ,Robinson
Steve Benson,Steve , ,Benson
Steve Young,Steve , ,Young
Steven E. Jones,Steven ,E. ,Jones
Thomas B. Marsh,Thomas ,B. ,Marsh
Thomas G. Alexander,Thomas ,G. ,Alexander
Thomas L. Kane,Thomas ,L. ,Kane
Thomas S. Monson,Thomas ,S. ,Monson
Todd Compton,Todd , ,Compton
Truman O. Angell,Truman ,O. ,Angell
Valeen Tippetts Avery,Valeen ,Tippetts ,Avery
W. A. Draves,W. ,A. ,Draves
Walker Lewis,Walker , ,Lewis
Wallace Stegner,Wallace , ,Stegner
Warren Parrish,Warren , ,Parrish
Wesley P. Walters,Wesley ,P. ,Walters
Wilford Woodruff,Wilford , ,Woodruff
Willard Richards,Willard , ,Richards
William B. Ide,William ,B. ,Ide
William Clayton,William , ,Clayton
William E. McLellin,William ,E. ,McLellin
William Harrison Folsom,William ,Harrison ,Folsom
William Henry Chamberlin,William ,Henry ,Chamberlin
William Law,William , ,Law
William Marks,William , ,Marks
William S. Godbe,William ,S. ,Godbe
William Shunn,William , ,Shunn
William Smith,William , ,Smith
William Wines Phelps,William ,Wines ,Phelps
Wm. Robert Wright,Wm. ,Robert ,Wright
Zebedee Coltrin,Zebedee , ,Coltrin
"Zenos H. Gurley, Sr.",Zenos ,H. ,Sr.
Zina D. H. Young,Zina ,D. ,Young
Nephi Anderson,Nephi , ,Anderson
"William ""Wild Bill"" Hickman",William ,"""Wild ",Hickman
