 Aaron Eckhart
 Abraham O. Smoot
 Albert Carrington
 Albert E. Bowen
 Alexander Hale Smith
 Alonzo A. Hinckley
 Alpheus Cutler
 Anne Perry
 Anthony W. Ivins
 Archibald Gardner
 Armand Mauss
 B. H. Roberts
 Bathsheba W. Smith
 Benjamin Urrutia
 Benjamin Winchester
 Bertel Thorvaldsen
 Billy Barty
 Bo Gritz
 Boyd K. Packer
 Brandon Flowers
 Brigham Henry Roberts
 Brigham Young
" Brigham Young, Jr."
 Bruce R. McConkie
 Butch Cassidy
 Carmen Rasmusen
 Charles Roscoe Savage
 D. Michael Quinn
 D. Todd Christofferson
 Dale Morgan
 Dale Murphy
 Dallin H. Oaks
 Dan Vogel
 Daniel H. Wells
 David A. Bednar
 David B. Haight
 David King Udall
 David O. McKay
 David W. Patten
 David Whitmer
 Davis Bitton
 Dean C. Jessee
 Dean Lowe May
 Dieter F. Uchtdorf
 Don Bluth
 Donny Osmond
 Dudley Leavitt
 Earl W. Bascom
 Edward H. Anderson
 Edward Stevenson
 Elijah Abel
 Eliza Roxcy Snow
 Elizabeth Ann Whitney
 Elizabeth Smart
 Emma Hale Smith
 Emma Lee French
 Ephraim Hanks
 Erastus Snow
 Ezra T. Benson
 Ezra Taft Benson
 Fawn M. Brodie
 Francis M. Lyman
 Franklin D. Richards
 Frederick Madison Smith
 George A. Smith
 George Albert Smith
 George M. Hinkle
 George Q. Cannon
 George Teasdale
 Gladys Knight
 Glen A. Larson
 Glenn Beck
 Gordon B. Hinckley
 Gordon Jump
 Grant H. Palmer
 Gregory Prince
 Gutzon Borglum
 H. Michael Marquardt
 Harold B. Lee
 Harry Reid
 Heber C. Kimball
 Heber J. Grant
 Helen Mar Kimball
 Henry B. Eyring
 Henry Eyring
 Henry Grow
 Howard W. Hunter
 Hugh B. Brown
 Hugh Nibley
 Hyrum Mack Smith
 Hyrum Smith
 Isaac Morley
 Israel Barlow
 J. Golden Kimball
 J. Reuben Clark
 James C. Christensen
 James E. Faust
 James Strang
 Jan Shipps
 Jared Hess
 Jason W. Briggs
 Jefferson Hunt
 Jeffrey R. Holland
 Jerald and Sandra Tanner
 Jesse Knight
 John Browning
 John D. Lee
 John Milton Bernhisel
 John Taylor
 John Van Cott
 John Whitmer
 John Whittaker Taylor
 Jon Heder
 Jon Peter Lewis
 Joseph B. Wirthlin
 Joseph F. Smith
 Joseph Fielding
 Joseph Fielding Smith
 Joseph Smith III
" Joseph Smith, Jr."
" Joseph Smith, Sr."
 Juanita Brooks
 Kate Kelly
 Ken Jennings
 Kresimir Cosik
 L. Tom Perry
 Leonard J. Arrington
 Levi Stewart
 Lilburn Boggs
 Linda King Newell
 Linda Sillitoe
 Lorenzo Snow
 Lot Smith
 Luke S. Johnson
 M. Russell Ballard
 Marie Osmond
 Mark E. Petersen
 Mark Hofmann
 Mark Madsen
 Martha Hughes Cannon
 Martin Harris
 Marvin Goldstein
 Marvin J. Ashton
 Mary Fielding Smith
 Michael O. Leavitt
 Milo Andrus
 Milton R. Hunter
 Mitch Davis
 Mitt Romney
 Moses Thatcher
 Natacha Rambova
 Nephi Anderson
 O. Raymond Knight
 Olene S. Walker
 Olive Osmond
 Oliver Cowdery
 Orrin Hatch
 Orson Hyde
 Orson Pratt
 Orson Scott Card
 Orson Spencer
 Otto Fetting
 Parley P. Pratt
 Philip Barlow
 Philo Farnsworth
 Porter Rockwell
 Quentin L. Cook
 Reed Smoot
 Rex E. Lee
 Richard Bushman
 Richard Dutcher
 Richard G. Scott
 Richard L. Evans
 Robert D. Hales
 Robert L. Millet
 Ron Esplin
 Rulon Gardner
 Russell M. Nelson
 Samuel Brannan
 Sandy Petersen
 Shawn Bradley
 Sidney Rigdon
 Sonia Johnson
 Spencer W. Kimball
 Stephen Covey
 Stephen E. Robinson
 Steve Benson
 Steve Young
 Steven E. Jones
 Thomas B. Marsh
 Thomas G. Alexander
 Thomas L. Kane
 Thomas S. Monson
 Todd Compton
 Truman O. Angell
 Valeen Tippetts Avery
 W. A. Draves
 Walker Lewis
 Wallace Stegner
 Warren Parrish
 Wesley P. Walters
 Wilford Woodruff
 Willard Richards
 William B. Ide
 William Clayton
 William E. McLellin
 William Harrison Folsom
 William Henry Chamberlin
 William Law
 William Marks
 William S. Godbe
 William Shunn
 William Smith
 William Wines Phelps
 Wm. Robert Wright
 Zebedee Coltrin
" Zenos H. Gurley, Sr."
 Zina D. H. Young
Nephi Anderson
"William ""Wild Bill"" Hickman"
